[2025-11-13--01-59-01 INFO actix_server::builder] starting 5 workers
[2025-11-13--01-59-01 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2025-11-13--01-59-01 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2025-11-13--01-59-02 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2025-11-13--02-01-46 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49958.
[2025-11-13--02-05-17 INFO actix_web::middleware::logger] 127.0.0.1 "GET / HTTP/1.1" 200 6733 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.103651
[2025-11-13--02-05-18 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/txtx.png HTTP/1.1" 200 4197 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.006476
[2025-11-13--02-05-18 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/css/b882b236833a8b2c.css HTTP/1.1" 200 24912 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.025082
[2025-11-13--02-05-19 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/webpack-3e4e71dfd9e3c4e1.js HTTP/1.1" 200 4680 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.001652
[2025-11-13--02-05-19 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/main-app-3e881fb742a87abf.js HTTP/1.1" 200 219 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.001070
[2025-11-13--02-05-19 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/c16f53c3-d20dab724af58680.js HTTP/1.1" 200 2698 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.002505
[2025-11-13--02-05-19 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/3191-8baaa656bd7a5b91.js HTTP/1.1" 200 6972 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.001340
[2025-11-13--02-05-19 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/4688-fe3d1cc60e0589c8.js HTTP/1.1" 200 10753 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.002407
[2025-11-13--02-05-19 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/9364-dd34101838507c9f.js HTTP/1.1" 200 3147 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.001189
